changeset	no_nodes	no_ways	no_relations	no_creates	no_modifications	no_deletions	max_lat	max_lon	min_lat	min_lon	num_changes	closed_at	has_imagery	editor	bbox_area
19740924	6.0	1.0	0.0	7.0	0.0	0.0	12.5823683	124.1919248	12.5719092	124.1244111	7	2014-01-01 00:06:00-05:00	False	other	8965554.87084643
19947683	32.0	14.0	0.0	4.0	27.0	15.0	36.1565854	-115.2752603	36.1148895	-115.3309422	46	2014-01-12 03:24:32-05:00	True	Potlatch	35623909.54279286
21482400	14.0	4.0	0.0	3.0	12.0	3.0	52.5170835	13.4360455	52.5158437	13.43452	18	2014-04-03 15:14:03-04:00	False	other	38514.28313428763
22253435	1.0	0.0	0.0	1.0	0.0	0.0	52.1828694	-0.771251	52.1828694	-0.771251	1	2014-05-10 12:30:52-04:00	False	other	0.0
22294041	208.0	20.0	0.0	220.0	7.0	1.0	53.2116729	55.7427177	53.1695412	55.6885574	228	2014-05-12 11:23:49-04:00	False	other	47194721.14780879
24010736	6.0	6.0	0.0	9.0	3.0	0.0	53.441011	7.9557315	53.4129605	7.8851081	12	2014-07-07 16:41:42-04:00	True	Potlatch	41199992.80036122
24945451	0.0	1.0	0.0	0.0	1.0	0.0	48.7084583	12.2491948	48.7074908	12.2477975	1	2014-08-22 19:28:15-04:00	False	other	25386.734188916344
25038085	0.0	6.0	0.0	4.0	2.0	0.0	43.0424859	-76.0633323	43.0408913	-76.0655589	6	2014-08-26 16:01:22-04:00	True	JOSM	60201.01410549435
25445701	12.0	1.0	0.0	13.0	0.0	0.0	-43.5025007	172.6127333	-43.5027148	172.612429	13	2014-09-14 22:17:12-04:00	False	other	1113.0574819908743
26283074	8.0	1.0	0.0	9.0	0.0	0.0	50.6427536	12.501568	50.6426011	12.5013532	9	2014-10-23 14:21:31-04:00	True	Potlatch	640.1050996432267
26894116	14.0	0.0	0.0	14.0	0.0	0.0	45.0250786	-93.0099831	44.9571512	-93.0995032	14	2014-11-19 16:11:41-05:00	True	Potlatch	106550553.29518063
27934591	1.0	0.0	0.0	1.0	0.0	0.0	3.4987176	98.574686	3.4987176	98.574686	1	2015-01-05 09:56:38-05:00	False	other	0.0
28075756	4.0	1.0	0.0	5.0	0.0	0.0	43.9263211	12.909665	43.921384	12.8985673	5	2015-01-11 18:21:50-05:00	False	other	942663.2880080204
29464169	102.0	40.0	0.0	134.0	8.0	0.0	44.8126971	65.5298183	44.7881197	65.5183266	142	2015-03-14 02:11:00-04:00	False	other	4932533.316356092
31051517	4.0	1.0	0.0	5.0	0.0	0.0	15.7979888	78.0222919	15.7978651	78.0221336	5	2015-05-12 07:51:00-04:00	False	other	252.1825991445513
30438353	52.0	12.0	0.0	64.0	0.0	0.0	-24.8622684	25.8617196	-24.86384	25.8595985	64	2015-04-23 15:41:57-04:00	False	other	45528.91933041063
31320139	0.0	0.0	1.0	0.0	1.0	0.0	59.9295988	30.3603604	59.9206553	30.3541079	1	2015-05-20 13:32:45-04:00	True	Potlatch	1382776.9382854947
30664954	13.0	13.0	0.0	8.0	17.0	1.0	19.6231219	-98.0972366	19.5875604	-98.1454168	26	2015-04-30 13:34:45-04:00	True	Potlatch	22538661.92794839
32510431	2632.0	652.0	0.0	3284.0	0.0	0.0	22.5061555	88.3091474	22.5008697	88.3009207	3284	2015-07-09 01:04:51-04:00	True	JOSM	583276.5182577454
32586122	21.0	2.0	0.0	22.0	1.0	0.0	46.9553023	14.0227199	46.9513467	14.0080419	23	2015-07-12 13:56:33-04:00	True	JOSM	1054045.250167868
32799490	4.0	1.0	0.0	5.0	0.0	0.0	-6.8126023	39.2496205	-6.8126639	39.2495463	5	2015-07-22 07:36:21-04:00	True	JOSM	57.04325584184444
33910731	2.0	2.0	0.0	3.0	1.0	0.0	-8.3292676	35.3066774	-8.3346645	35.2957398	4	2015-09-09 10:23:29-04:00	False	other	739293.9111105787
34657625	107.0	34.0	0.0	115.0	25.0	1.0	47.0008783	15.9601774	46.9945169	15.9453244	141	2015-10-15 11:51:17-04:00	False	other	1716750.8220869268
35493795	1.0	1.0	0.0	0.0	2.0	0.0	48.0800125	8.5014253	48.0781528	8.4984224	2	2015-11-21 13:25:32-05:00	False	other	103581.44235284536
37411877	26.0	3.0	0.0	11.0	17.0	1.0	45.8031327	15.6546572	45.7807523	15.6271478	29	2016-02-24 07:53:18-05:00	False	other	10941905.445551353
38025732	0.0	1.0	0.0	0.0	1.0	0.0	51.9844578	9.2109724	51.9780414	9.1997933	1	2016-03-23 14:22:28-04:00	True	JOSM	1443167.913686123
38852440	0.0	8.0	0.0	1.0	7.0	0.0	46.0680033	14.5377002	46.0665682	14.5362341	8	2016-04-25 06:04:28-04:00	False	other	37579.03871371635
42436654	4.0	1.0	0.0	5.0	0.0	0.0	25.6073597	85.1535823	25.606963	85.1529687	5	2016-09-26 01:45:05-04:00	False	other	3344.9535432612274
42483432	4.0	0.0	0.0	0.0	4.0	0.0	32.4790075	-90.1266163	32.4747495	-90.128567	4	2016-09-27 21:20:42-04:00	True	Go Map!!	122010.6581163816
41371274	0.0	6.0	0.0	0.0	6.0	0.0	26.3051734	83.1169051	26.1873139	83.0785292	6	2016-08-10 12:49:18-04:00	False	other	62491484.17354934
41539987	0.0	2.0	0.0	0.0	2.0	0.0	40.6480109	-3.3339363	40.6477553	-3.3374924	2	2016-08-18 13:36:49-04:00	True	JOSM	14845.389455674023
43239174	23.0	0.0	4.0	0.0	4.0	23.0	35.3785014	139.5198243	35.3695265	139.5015422	27	2016-10-28 03:30:56-04:00	False	other	2493632.8242851426
41964526	235.0	11.0	3.0	241.0	8.0	0.0	-22.7798865	-44.530798	-23.2877928	-44.8340479	249	2016-09-06 15:18:17-04:00	False	other	2074013165.6224487
43261292	1.0	0.0	0.0	1.0	0.0	0.0	47.3731842	-68.3021191	47.3731842	-68.3021191	1	2016-10-29 04:15:01-04:00	False	other	0.0
44733212	6.0	0.0	0.0	0.0	6.0	0.0	43.260538	-2.9216909	43.259883	-2.9219323	6	2016-12-28 10:04:47-05:00	True	JOSM	2690.5506866228525
44145101	0.0	0.0	1277.0	0.0	1277.0	0.0	44.1867545	-0.4548626	36.5559532	-4.250438	1277	2016-12-03 15:09:22-05:00	True	JOSM	471955142282.2749
44497155	1.0	0.0	0.0	1.0	0.0	0.0	0.8931021	101.6491378	0.8931021	101.6491378	1	2016-12-18 12:57:13-05:00	False	other	0.0
