changeset	comment
19740924	oPAS
19947683	repairing some roads
21482400	
22253435	Local Knowledge
22294041	добавил лес,подравнял реку,дороги
24010736	Straße ergänzt
24945451	
25038085	Highway/building overlap , http://osmlab.github.io/to-fix/?error=northeast_highway_intersects_building
25445701	
26283074	added
26894116	
27934591	
28075756	
29464169	
30438353	#hotosm-project-992  #PeaceCorps #PCBotswana Source=Bing
30664954	zona final
31051517	
31320139	
32510431	we are adding buildings and realigned the roads
32586122	Ergänzungen auf der Flattnitz
32799490	Mburahati mapping for flood resllience
33910731	#Tanzania, SH, FDT, hotosm-task-70
34657625	
35493795	Ort angaben
37411877	Rutiranje planinarskih staza
38025732	'access=designated' ist nichtssagend, ein präziseres Merkmal sollte verwendet werden, z.B. 'bicycle=designated', ergänzt.
38852440	mercator šmartinska oneways
41371274	he connection to the server was reset while the page was loading.
41539987	Corrección nota 646202
41964526	Criação de mata nativa.
42436654	created polygon
42483432	Updated Source
43239174	ｄｖｄｓｄ
43261292	-
44145101	Set Wikidata ID for admin_levels, matching them with wikipedia tags
44497155	location31
44733212	Metro Bilbao.
45445876	Added meadow to Rouken Glen Park
45459159	Updated Playground at Pleasant View Parkette
45490766	.
45575075	Pokemon Go
45937299	(no comment)
46551545	meer
46897952	Grasland, Weg eingezeichnet - Bushaltestelle-Lage, Weg angepasst
47027757	area añadida
47197763	add korean name.(KFA - Korean Football Association)
47484353	
47744559	Delete torn down school building
50531973	change road status, add new road
51029766	#hotosm-project-3392 #MissingMaps #EliminateMalaria #Laos
51105509	doline of lesechia
51369847	#hotosm-project-3425 #MissingMaps #RamaniHuria
51893931	#hotosm-project-3204  #PEPFAR #MapGive #YouthMappers #MYDATAmapathon; added: roads, building.
52356712	sklep biedronka jaworzno
52357523	smoothened road geometry; added layer tag
53053690	
53101846	Created a convenience shop
54374138	Updated area landuse classification
54425893	Kreisverkehr
54511384	updated landuse classification
54574357	created relation for le Foron
55231248	Gebäude ergänzt (mapbox)
55762524	Bare rock
55786509	I mapped roads and buildings
56106706	New roads under construction
56346301	added and aligned roads
56465370	driveway
57468709	Poprawa dróg, obrysy budynków, dodanie i aktualizacja POI
57501987	Elizabeth Beauty School added
57629554	#hotosm-task-578 #BHOOT #MissingMaps #BOIL #Pathao
57652917	#maproulette #Check_Motorway_Upgrades
59026400	park
59227852	Walking maze in a small park
59654024	added bridge on primary road
60128676	Nosd
60972183	fixing impossible angle
61036752	pag
61197700	"Ajout site web et correction du nom (""Collège Coat-Mez"" et non ""Collège **de** Coat-Mez""  )."
61804407	Epping Forest
61838308	watarase continued detail improvement / drains / water features
61864976	Add whether there are cycleways
63077866	Fixed Roads
63276912	Satellite view
63829518	estradas
64268009	update
65028008	not much
66282770	Just decided to make facts factually correct
66410481	Created and modified buildings, roads and paths. Created garden, driveways, points, modified lines
66522179	fix roads leon
66590666	fix roads compst.
68025905	Parque con algunos negocios donde las familias pasan la tarde
68288606	reviewing tiger:reviewed=no ways #maproulette
70128799	Atualização de Locais Públicos e privados  Da Cidade de Xanxerê
70295694	Уточнения по Нижнему Новгороду
71693131	Added Service Roads
73008776	Changed road from living street to residential due to routing algo issue.
73258044	fix duplicated footway
74770907	#ict4society
75160933	Actualicé nombres de vías utilizando datos de INEGI. #Kaart
77173920	veiligheidsaspect
