changeset	type	id	version	uid	timestamp	operation
19740924	node	2604118053	1	688302	2014-01-01 00:06:00-05:00	create
19740924	node	2604118058	1	688302	2014-01-01 00:06:00-05:00	create
19740924	node	2604118060	1	688302	2014-01-01 00:06:00-05:00	create
19740924	node	2604118061	1	688302	2014-01-01 00:06:00-05:00	create
19740924	node	2604118063	1	688302	2014-01-01 00:06:00-05:00	create
19740924	node	2604118066	1	688302	2014-01-01 00:06:00-05:00	create
19740924	way	254604758	1	688302	2014-01-01 00:06:00-05:00	create
19947683	way	256265888	1	3392	2014-01-12 02:24:28-05:00	create
19947683	way	256265889	1	3392	2014-01-12 02:24:28-05:00	create
19947683	way	256265890	1	3392	2014-01-12 02:24:29-05:00	create
19947683	way	256265891	1	3392	2014-01-12 02:24:29-05:00	create
19947683	node	137279543	3	3392	2014-01-12 02:24:30-05:00	modify
19947683	node	137378362	3	3392	2014-01-12 02:24:30-05:00	modify
19947683	node	137507347	3	3392	2014-01-12 02:24:30-05:00	modify
19947683	node	137519085	3	3392	2014-01-12 02:24:30-05:00	modify
19947683	node	137646928	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646931	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646932	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646933	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646936	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646943	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646946	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646949	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646951	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646954	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646955	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646960	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646963	3	3392	2014-01-12 02:24:29-05:00	modify
19947683	node	137646966	3	3392	2014-01-12 02:24:30-05:00	modify
19947683	node	137646973	3	3392	2014-01-12 02:24:30-05:00	modify
19947683	node	137646976	3	3392	2014-01-12 02:24:30-05:00	modify
19947683	node	137646979	3	3392	2014-01-12 02:24:30-05:00	modify
19947683	node	137646982	3	3392	2014-01-12 02:24:30-05:00	modify
19947683	way	14316950	3	3392	2014-01-12 02:24:30-05:00	modify
19947683	way	176279366	6	3392	2014-01-12 02:24:31-05:00	modify
19947683	way	191520732	4	3392	2014-01-12 02:24:31-05:00	modify
19947683	node	301918947	3	3392	2014-01-12 02:24:32-05:00	delete
