key	value
aerialway	gondola
aerialway	station
aerialway	goods
aerialway	platter
aerialway	drag_lift
aerialway	canopy
aerialway	mixed_lift
aerialway	rope_tow
aerialway	j-bar
aerialway	cable_car
aerialway	pylon
aerialway	chair_lift
aerialway	t-bar
aerialway	magic_carpet
aerialway	zip_line
aeroway	navigationaid
aeroway	taxilane
aeroway	terminal
aeroway	gate
aeroway	taxiway
aeroway	windsock
aeroway	apron
aeroway	heliport
aeroway	hangar
aeroway	highway_strip
aeroway	helipad
aeroway	aerodrome
aeroway	runway
airmark	beacon
amenity	ice_cream
amenity	gambling
amenity	fire_station
amenity	kindergarten
amenity	nightclub
amenity	toy_library
amenity	grit_bin
amenity	car_wash
amenity	social_centre
amenity	ferry_terminal
amenity	place_of_worship
amenity	waste_disposal
amenity	marketplace
amenity	bbq
amenity	pharmacy
amenity	cinema
amenity	ranger_station
amenity	social_facility
amenity	restaurant
amenity	bench
amenity	music_school
amenity	planetarium
amenity	fountain
amenity	photo_booth
amenity	fuel
amenity	kneipp_water_cure
amenity	waste_basket
amenity	clock
amenity	clinic
amenity	biergarten
amenity	hunting_stand
amenity	drinking_water
amenity	language_school
amenity	atm
amenity	bicycle_repair_station
amenity	dog_toilet
amenity	place_of_mourning
amenity	charging_station
amenity	bureau_de_change
amenity	hospital
amenity	pub
amenity	water_point
amenity	brothel
amenity	bicycle_parking
amenity	car_rental
amenity	bus_station
amenity	shelter
amenity	school
amenity	townhall
amenity	internet_cafe
amenity	bank
amenity	taxi
amenity	recycling
amenity	doctors
amenity	vending_machine
amenity	fast_food
amenity	public_bookcase
amenity	kitchen
amenity	animal_shelter
amenity	give_box
amenity	toilets
amenity	car_sharing
amenity	post_depot
amenity	lounger
amenity	telephone
amenity	college
amenity	library
amenity	parking_entrance
amenity	boat_sharing
amenity	grave_yard
amenity	shower
amenity	conference_centre
amenity	embassy
amenity	sanitary_dump_station
amenity	veterinary
amenity	baking_oven
amenity	casino
amenity	dive_centre
amenity	theatre
amenity	public_bath
amenity	refugee_site
amenity	funeral_hall
amenity	crematorium
amenity	food_court
amenity	bar
amenity	love_hotel
amenity	parking
amenity	nursing_home
amenity	studio
amenity	animal_breeding
amenity	parking_space
amenity	animal_boarding
amenity	police
amenity	waste_transfer_station
amenity	childcare
amenity	motorcycle_parking
amenity	driving_school
amenity	post_office
amenity	vehicle_inspection
amenity	baby_hatch
amenity	watering_place
amenity	boat_rental
amenity	arts_centre
amenity	stripclub
amenity	bicycle_rental
amenity	monastery
amenity	post_box
amenity	prison
amenity	swingerclub
amenity	cafe
amenity	university
amenity	courthouse
amenity	community_centre
amenity	dentist
barrier	sump_buster
barrier	lift_gate
barrier	ditch
barrier	bollard
barrier	rope
barrier	turnstile
barrier	stile
barrier	cattle_grid
barrier	kerb
barrier	log
barrier	hedge
barrier	border_control
barrier	entrance
barrier	cable_barrier
barrier	bus_trap
barrier	sliding_gate
barrier	hampshire_gate
barrier	toll_booth
barrier	wall
barrier	debris
barrier	horse_stile
barrier	height_restrictor
barrier	retaining_wall
barrier	block
barrier	city_wall
barrier	cycle_barrier
barrier	gate
barrier	swing_gate
barrier	kissing_gate
barrier	tank_trap
barrier	kent_carriage_gap
barrier	sally_port
barrier	handrail
barrier	fence
barrier	yes
barrier	jersey_barrier
barrier	spikes
barrier	motorcycle_barrier
barrier	bump_gate
barrier	guard_rail
barrier	full-height_turnstile
barrier	chain
barrier	wicket_gate
building	supermarket
building	government
building	fire_station
building	kindergarten
building	bridge
building	civic
building	water_tower
building	hut
building	shrine
building	stable
building	static_caravan
building	residential
building	bungalow
building	farm_auxiliary
building	hospital
building	industrial
building	riding_hall
building	military
building	transformer_tower
building	conservatory
building	school
building	cathedral
building	warehouse
building	sports_hall
building	stadium
building	synagogue
building	service
building	gatehouse
building	dormitory
building	container
building	cabin
building	garage
building	toilets
building	temple
building	construction
building	presbytery
building	college
building	detached
building	hangar
building	roof
